"Est","SE","SE.B"
2.051520671,0.0922736,0.091226479
2.033989827,0.087561612,0.087100328
1.975023999,0.085715463,0.085516362
1.907055958,0.084316963,0.085351484
2.05650355,0.086983061,0.08606191
1.983990466,0.088328892,0.08796556
2.112554008,0.083141621,0.08343231
1.952444274,0.086799865,0.086945549
1.970117822,0.087426711,0.087608519
2.064475684,0.083593815,0.083955081
2.081022733,0.086108076,0.086666529
1.854809339,0.082637279,0.082825964
1.992248195,0.086172212,0.085761097
1.974403517,0.09089953,0.090806653
1.975091731,0.0851183,0.085879969
1.973068107,0.089141343,0.089835621
2.024330929,0.092785166,0.092657913
2.044350033,0.083899684,0.083898814
2.232911428,0.096015732,0.096684215
2.106495417,0.085062829,0.084828785
1.99469031,0.086709901,0.08608242
1.999425637,0.089671529,0.088581513
1.957326982,0.08226253,0.082218238
1.880238284,0.093037133,0.092870249
2.0857819,0.08631045,0.084665775
1.840555575,0.087855022,0.088798351
1.945250188,0.085819199,0.085478747
2.043495857,0.088941837,0.088040312
1.969156871,0.083301139,0.084343211
2.025883797,0.0870639,0.088257349
1.939056497,0.090662729,0.09062453
2.100219132,0.084645945,0.083468254
2.022033258,0.085843857,0.086972916
1.823133646,0.091133351,0.091216394
2.029088025,0.089736367,0.089340811
2.148520328,0.09155537,0.09112198
1.891818476,0.083563284,0.082867457
2.079535974,0.085610236,0.086060015
1.835192351,0.088808275,0.08884182
2.029055653,0.088551991,0.089859986
1.997554028,0.089371954,0.090119765
1.982405777,0.085428208,0.085759215
1.986165841,0.086459416,0.08621153
1.968395631,0.092969541,0.09207602
1.941230068,0.089183043,0.090327995
1.932288505,0.082089159,0.082515848
1.981957784,0.088507866,0.089437847
2.13336393,0.088261229,0.088433147
1.972786487,0.084501455,0.084620952
2.073373716,0.085616413,0.085054762
2.110814389,0.091094567,0.090998831
2.027197909,0.095019833,0.096149058
2.054501453,0.084978205,0.085578369
2.102719509,0.093228706,0.092732312
2.003132194,0.085585917,0.085672424
1.941769591,0.084783551,0.08399414
2.005307197,0.085988399,0.087200199
2.12661511,0.087037665,0.085742766
1.945970801,0.085329152,0.086525005
1.980776895,0.085629144,0.085845767
2.128949737,0.084175425,0.083110479
2.091505775,0.08744691,0.086712476
1.970690241,0.091384571,0.090119232
2.038188678,0.09058633,0.090436756
2.103592277,0.083534559,0.083460582
1.94713549,0.092483468,0.092065256
1.991131192,0.086462103,0.086631718
2.184995218,0.090777419,0.090338762
2.136790801,0.094737753,0.094124671
1.933619462,0.092219459,0.091855711
2.12820569,0.084454191,0.082807685
1.929861211,0.085184046,0.085021517
2.035156523,0.09129249,0.090779327
1.869625468,0.0843836,0.084746893
2.020068548,0.086643797,0.087249359
1.974592313,0.084699921,0.084340755
2.042761979,0.086098704,0.08606123
2.001296309,0.08791232,0.087420488
2.007652812,0.096293093,0.09638184
2.135021802,0.084205633,0.084413468
2.056378414,0.08537029,0.085010207
2.178086605,0.086149412,0.085806551
1.983623103,0.088060571,0.088660779
1.934923806,0.089087206,0.089268187
1.968610702,0.087891261,0.088239372
1.974134443,0.094133888,0.094169075
1.908274419,0.08553741,0.085550598
1.931515453,0.08820751,0.088342592
1.995103468,0.084689482,0.084007528
2.003102294,0.090946295,0.090097365
1.845289161,0.090447553,0.090348269
1.878440019,0.088249245,0.088655952
2.025711854,0.08174816,0.081102827
2.053715687,0.084600785,0.083904741
1.969809017,0.093461318,0.093636317
2.10376852,0.091665824,0.092554828
2.038179987,0.083248765,0.083410024
2.008112397,0.088793528,0.088365568
1.920108511,0.083441907,0.082857015
2.058545611,0.084548018,0.084264874
2.110295063,0.085515756,0.085504995
1.961405323,0.084158763,0.084255336
2.165177904,0.087389137,0.088034178
2.112348711,0.086063326,0.086249439
2.140823726,0.087992189,0.087763262
1.911419216,0.087046494,0.085999337
1.986390003,0.084946017,0.085613705
2.058156103,0.082696249,0.082489965
2.181573477,0.088241772,0.08814017
1.975007841,0.085279638,0.085437043
1.961802882,0.089727708,0.090834366
1.942566908,0.089436338,0.088831108
2.01646969,0.092072449,0.092662678
2.142968551,0.087313548,0.0867947
1.955573249,0.090451795,0.090827495
1.872967322,0.092527382,0.093432533
1.933319207,0.088277205,0.088233737
2.073376422,0.087286132,0.088502381
2.112698365,0.092667691,0.092167977
1.938759597,0.085193215,0.085081042
1.947134908,0.090456509,0.090318252
2.350315259,0.091120933,0.091714165
1.947480925,0.083622893,0.084644936
2.148093988,0.088475487,0.089256481
1.97188684,0.088005674,0.087849637
1.950622334,0.088057714,0.087577683
