"Batch","Eff_Obs","Eff_Exp"
563,1.96939915469443,1.9484094281906
564,1.95939576661944,2.02448975008903
565,1.94901790095395,1.94843092129803
566,2.03266261728893,2.0068107336253
567,1.99596141601233,1.95719680156866
568,1.97103035209658,1.99638427076951
569,1.98020896216782,2.0157318977925
570,2.01145907943167,1.98499729891178
571,1.98310785744956,1.98150529135146
572,1.9970257834056,1.9865287375233
573,1.98095333622487,2.03114249705295
574,1.96201397947171,1.94425699983292
575,1.98317756957749,1.96631727792096
576,2.01795558799354,2.00707033078188
577,1.99331766998724,1.97995849578713
578,1.98756012202099,1.94807936137482
579,1.95958594702639,1.9466682509633
580,1.98728067749111,1.9893558083531
581,1.97549705087337,1.97429114143585
582,1.97716104919631,1.9478523114036
583,1.9766103825113,1.9732526855674
584,1.98352975627661,1.97491507127444
585,2.01078056439968,1.98329570454039
586,1.95395017419741,1.99984069297348
587,1.9924547307855,2.01563442308702
588,1.94704540228823,1.991614918382
589,1.98417048228557,1.97404233919321
590,2.00594554721918,1.97023239711598
591,1.97682156244659,1.95721409312621
592,1.9617053736512,1.95293289126323
593,1.95773546655621,1.99295347132014
594,1.96341060853815,2.02247120153051
595,1.9667962460926,1.97770182372837
596,1.94849144013193,1.97935568503937
597,2.00772564310944,1.98682238069231
598,1.98651984041646,1.97942808118745
599,1.95173142377441,1.98755066505869
600,2.00937093584091,1.9839696891765
601,1.96971621796443,1.99003966469883
602,1.98830548364333,1.96431258776736
603,2.00760913790088,1.99368390437887
604,2.01001701785483,2.00175383088219
605,1.95955319783643,1.94299306753387
606,1.99256279458991,1.97136744488899
607,2.00276243708962,1.97348981922985
608,1.97280220465575,1.97097635368761
609,2.00477702546002,1.949837165625
610,1.99763557163793,1.97350238217601
611,1.98128682007209,2.00517577201287
612,1.93163335558251,1.97804562398135
613,1.98797968070203,1.9512359202541
614,1.95873871533466,1.99269955203487
615,1.95993785463343,1.99840318296079
616,1.93852451575196,1.99251223076979
617,1.95414080838601,2.00900469644968
618,1.96520961832904,1.99380581493857
619,1.98736827106549,1.97135152894459
620,2.00710984609817,1.97978002183664
621,1.95046525979298,2.00463819695226
622,1.97340632218026,1.98968077322036
623,1.96591161724643,2.00725569026411
