"Seed","Est","SE","Est.1","SE.1","Est.0","SE.0"
64,-2.45907919149917,2.13145851309657,-8.6956383314448,1.82159560501221,-6.23655913994562,1.41805056968725
65,-2.50432951110925,2.23446015510002,-8.74088865105487,1.75792859568583,-6.23655913994562,1.41805056968725
66,-1.85751351795628,2.11765807231024,-8.0940726579019,1.78830677261895,-6.23655913994562,1.41805056968725
67,-3.36292694229538,2.31662409005007,-9.599486082241,1.98737611335776,-6.23655913994562,1.41805056968725
68,-0.8044924462403,2.38939875004664,-7.04105158618592,2.01040945867472,-6.23655913994562,1.41805056968725
69,-2.86746642581096,2.02765806055473,-9.10402556575658,1.78090247036179,-6.23655913994562,1.41805056968725
70,-1.73407220702077,2.18792790303844,-7.97063134696639,1.79552412981217,-6.23655913994562,1.41805056968725
71,-3.91355069277758,2.23125154779547,-10.1501098327232,1.81317166540212,-6.23655913994562,1.41805056968725
72,-2.38076665628006,2.45833313943447,-8.61732579622568,2.13162507205613,-6.23655913994562,1.41805056968725
73,-2.8653538461911,1.97598053980345,-9.10191298613672,1.61582264245086,-6.23655913994562,1.41805056968725
74,-2.81025930810818,2.35072051801392,-9.0468184480538,1.93585006855372,-6.23655913994562,1.41805056968725
75,-3.52053271533316,2.17946341828774,-9.75709185527878,1.73850423036843,-6.23655913994562,1.41805056968725
76,-3.33921323645519,2.02808926627926,-9.57577237640081,1.67661910470907,-6.23655913994562,1.41805056968725
77,-5.84815951687998,2.3853241820546,-12.0847186568256,2.09536694330125,-6.23655913994562,1.41805056968725
78,-4.48178952512968,2.21255373214405,-10.7183486650753,1.84621747853718,-6.23655913994562,1.41805056968725
79,-2.66716952993881,2.35257432093881,-8.90372866988443,2.12654401085013,-6.23655913994562,1.41805056968725
80,-3.05646565599208,2.31800041346154,-9.29302479593771,2.04415101937302,-6.23655913994562,1.41805056968725
81,-2.77573784796889,1.91538616252357,-9.01229698791451,1.72194670675891,-6.23655913994562,1.41805056968725
82,-0.580526309081189,2.29334113424899,-6.81708544902681,2.07674738087261,-6.23655913994562,1.41805056968725
83,-3.68950404394073,2.08570153167979,-9.92606318388635,1.70186847274739,-6.23655913994562,1.41805056968725
84,-3.20503961829804,2.18808892254807,-9.44159875824367,1.97317395239868,-6.23655913994562,1.41805056968725
85,-2.71069646011344,2.22519196986947,-8.94725560005906,1.76077278425148,-6.23655913994562,1.41805056968725
86,-3.01354663826223,2.24364419700478,-9.25010577820785,1.86669134507032,-6.23655913994562,1.41805056968725
87,-1.70535730057298,2.26146574325575,-7.9419164405186,1.96297203836246,-6.23655913994562,1.41805056968725
88,-1.0080109196606,2.17416167602971,-7.24457005960622,1.78793596420559,-6.23655913994562,1.41805056968725
89,-2.7058101405963,2.01543615881419,-8.94236928054193,1.61191610532264,-6.23655913994562,1.41805056968725
90,0.812127667323167,2.31954093391748,-5.42443147262246,1.93188463555549,-6.23655913994562,1.41805056968725
91,-2.00868098440811,2.25034893337266,-8.24524012435374,1.85035733494066,-6.23655913994562,1.41805056968725
92,-2.0543469642675,1.94331979429688,-8.29090610421312,1.62141017203756,-6.23655913994562,1.41805056968725
93,-0.879273291876927,2.44667963673759,-7.11583243182255,2.17739921299639,-6.23655913994562,1.41805056968725
94,-3.72160616238007,2.19843921863724,-9.95816530232569,1.89307116200771,-6.23655913994562,1.41805056968725
95,-0.642877399112851,2.13919324916581,-6.87943653905847,1.85702512385805,-6.23655913994562,1.41805056968725
96,-3.25806081846922,2.27039574244537,-9.49461995841484,2.01347685638915,-6.23655913994562,1.41805056968725
97,-4.599472962564,2.30755454275348,-10.8360321025096,2.01455502907362,-6.23655913994562,1.41805056968725
98,-2.24948823650894,2.01787067707732,-8.48604737645456,1.67367139193846,-6.23655913994562,1.41805056968725
99,-3.3585303358695,2.00793865483295,-9.59508947581513,1.65565644570492,-6.23655913994562,1.41805056968725
100,-3.23881829491521,2.26655535361183,-9.47537743486083,2.01579303932453,-6.23655913994562,1.41805056968725
