Est,SE,SE.B,Est.Numer.1,Est.Numer.0,Est.Denom,Est.True,SE.True,SE.B.True,Est.Numer.1.True,Est.Numer.0.True,Est.Denom.True,SE.h11.PMMR,SE.q11.PMMR,SE.h11.True,SE.q11.True
1.936738843,0.48288374,0.47981376,2.359442562,1.236134033,0.58,2.260918935,0.325461099,0.323090903,2.547467016,1.236134033,0.58,1.425956216,5.901329244,1.964280528,0.051162744
-0.103503674,1.010126141,1.009393535,1.227258673,1.289360877,0.6,1.872902221,0.276955244,0.275331822,2.41310221,1.289360877,0.6,1.619872673,10.86128479,1.938902353,0.05304393
2.570315876,0.473532366,0.474004108,2.587532317,1.122452267,0.57,2.0151583,0.294826297,0.293945536,2.271092498,1.122452267,0.57,0.834389405,6.685692305,2.004604782,0.049600142
2.663424058,0.415480313,0.411304957,2.868697796,1.24400912,0.61,2.167142939,0.293099616,0.291969511,2.565966313,1.24400912,0.61,1.10080098,4.451103136,2.017589491,0.0514333
2.039451563,0.414095411,0.413034865,2.370822137,1.198137489,0.575,1.868607716,0.295015762,0.294488176,2.272586925,1.198137489,0.575,1.140612997,5.488543115,1.960331893,0.047523152
2.085792254,0.381521724,0.383687359,2.578156484,1.347539054,0.59,1.993504031,0.310359119,0.309789177,2.523706432,1.347539054,0.59,1.280740439,3.068666358,2.021662647,0.049088934
1.815708245,0.377327048,0.374662657,2.341079538,1.260733132,0.595,1.939150692,0.297747915,0.29614803,2.414527794,1.260733132,0.595,1.057737516,4.952641319,1.974749899,0.051558151
1.990166715,0.554570501,0.546880435,2.408857735,1.214757706,0.6,2.01300977,0.28495526,0.278173702,2.422563568,1.214757706,0.6,1.249421341,7.628384349,1.988405894,0.049145844
2.150875891,0.613643453,0.615569126,2.554616223,1.328616965,0.57,2.379175719,0.331589164,0.328691001,2.684747125,1.328616965,0.57,1.285500826,7.072460445,2.03405259,0.05021671
2.204219813,0.403513937,0.401264091,2.709548662,1.287826883,0.645,2.090683345,0.267057416,0.266342951,2.63631764,1.287826883,0.645,0.985618758,5.384628734,2.010815829,0.052119612
2.987714279,0.573687644,0.57018487,2.871214382,1.198094386,0.56,1.703639517,0.293849868,0.289568204,2.152132515,1.198094386,0.56,1.414336337,6.080207204,1.933397568,0.05212775
1.768077723,0.388389586,0.391563839,2.51701188,1.385442137,0.64,1.849909121,0.255362711,0.257372605,2.569383975,1.385442137,0.64,1.343533631,5.052477486,2.057878801,0.050536069
1.507023136,0.392600651,0.393058716,2.400191699,1.450767123,0.63,1.668135632,0.269089762,0.269417044,2.501692571,1.450767123,0.63,1.135548609,5.894651529,1.956635437,0.050929744
1.72233103,0.509151492,0.510210367,2.390484092,1.322638853,0.62,1.786085725,0.286271675,0.287616327,2.430012003,1.322638853,0.62,1.642635475,5.29790265,1.991284034,0.054072071
2.058822101,0.595869068,0.589287703,2.786958629,1.428136042,0.66,1.820816052,0.266259773,0.264830977,2.629874637,1.428136042,0.66,1.348648602,6.592536338,2.092627061,0.049737144
2.61163036,0.631329293,0.628851017,2.410030651,1.104215471,0.5,2.525790646,0.363238006,0.36203896,2.367110794,1.104215471,0.5,1.521047467,8.139463953,2.017444994,0.051289996
1.500985707,0.388285896,0.387186311,1.996931628,1.171389489,0.55,1.818909231,0.299425366,0.298790698,2.171789566,1.171389489,0.55,1.058463678,3.768193353,1.933864887,0.047650753
1.989706866,0.398893324,0.397580552,2.546122788,1.272710394,0.64,2.048195596,0.282678999,0.282242108,2.583555576,1.272710394,0.64,1.247962822,5.1393078,1.986433509,0.052378045
1.627033198,0.263734322,0.264377306,2.442848221,1.377141477,0.655,1.626600517,0.251276741,0.254863591,2.442564815,1.377141477,0.655,0.991049326,0.774206715,1.955190584,0.051080259
1.494326148,0.463256421,0.463014835,2.530195195,1.499110153,0.69,1.660640682,0.252724521,0.250375728,2.644952224,1.499110153,0.69,0.88787152,7.758170047,2.045967002,0.051549243
1.899353605,0.629608813,0.629105717,2.526167337,1.320077798,0.635,1.971181255,0.278323192,0.276118061,2.571777895,1.320077798,0.635,1.542543345,9.146458853,2.060231773,0.05302383
2.140569039,0.459925622,0.461092029,2.592985843,1.233724503,0.635,1.73886085,0.259209678,0.259887228,2.337901143,1.233724503,0.635,1.538186519,4.843120575,1.998586813,0.051689312
2.117842273,0.341748971,0.343429866,2.87768526,1.47990936,0.66,1.892607238,0.261894302,0.264254963,2.729030137,1.47990936,0.66,0.934406055,4.226318954,1.938003217,0.052419489
