Est,SE,SE.B,Est.Numer.1,Est.Numer.0,Est.Denom,Est.True,SE.True,SE.B.True,Est.Numer.1.True,Est.Numer.0.True,Est.Denom.True,SE.h11.PMMR,SE.h01.PMMR,SE.h00.PMMR,SE.h2.PMMR,SE.q0.PMMR,SE.q11.PMMR,SE.h11.True,SE.h01.True,SE.h00.True,SE.h2.True,SE.q0.True,SE.q11.True
2.116761683,0.247308423,0.245503789,2.691420494,1.358702822,0.629602134,1.81718576,0.140419649,0.141367288,2.337611903,1.270908284,0.587008572,1.15528414,1.878766401,1.410574361,0.414535967,2.823376679,6.140605636,1.980540829,1.679681792,1.790200423,0.108567581,0.264328488,0.21310786
1.902656382,0.322354729,0.322819508,2.507470937,1.326154395,0.620877502,1.86408149,0.134476306,0.13410756,2.457265927,1.294397044,0.623829424,1.610744888,2.613927638,0.871981658,0.606725514,2.696191026,7.430673634,1.960825067,1.607328777,1.707493318,0.10559276,0.267009286,0.218830878
1.04481706,0.463818648,0.4641903,2.05622937,1.42905374,0.600273152,1.793701665,0.143227791,0.143095717,2.2854792,1.244574968,0.58031068,1.376025578,2.108905189,1.375483521,0.535479531,4.980959189,9.300008305,2.037867705,1.753816101,1.868767804,0.112827921,0.265308802,0.217284493
2.002799866,0.498220773,0.497188854,2.409366146,1.223923594,0.591892666,1.933968542,0.139082877,0.140634641,2.411640518,1.270438472,0.590083044,1.777613225,1.983602788,1.698248406,0.512678954,2.978319735,9.789100405,2.006439618,1.698159299,1.802355722,0.110441476,0.279316745,0.216341459
2.265624004,0.344788413,0.346184586,2.644257081,1.255992634,0.612751474,2.07319751,0.129776955,0.130039456,2.617399826,1.310525377,0.630366592,1.486932879,2.026067931,1.536026471,0.524117092,0.860716146,11.14201956,2.018985947,1.685878421,1.787763197,0.110602774,0.277252301,0.228553877
1.566667573,0.206710874,0.206509589,2.337947303,1.38636713,0.607391249,2.18552345,0.136145106,0.135725031,2.55335262,1.193092854,0.622395411,1.306596459,2.65622992,1.643134582,0.53796489,0.972035634,4.836281828,2.031571642,1.748761239,1.862365104,0.112697283,0.274540972,0.226070781
1.963149857,0.220903258,0.221569636,2.246336567,1.110858078,0.578396237,1.700417867,0.140730428,0.140315137,2.241877441,1.281644576,0.564704055,1.126302584,2.400660137,1.11881658,0.536593862,3.223545128,4.379286431,1.966989448,1.674229309,1.778781397,0.108626436,0.265886153,0.213768411
2.02708847,0.267240956,0.264581237,2.714216276,1.248558505,0.723035917,1.896227488,0.142957784,0.143111154,2.389081378,1.252355128,0.599467236,1.356537133,2.063419924,1.561730946,0.558925065,3.110716639,6.970063607,1.960957556,1.627588436,1.729219655,0.106730807,0.275457752,0.221379233
1.779884921,0.338133843,0.342421239,2.630696632,1.468541171,0.65293854,2.048826474,0.135713007,0.136522774,2.515787917,1.264058042,0.610949678,1.164444595,1.799551895,1.541344334,0.397198887,3.457079432,6.119983535,2.017760911,1.754737219,1.864729151,0.11311062,0.275867505,0.220318794
2.049204244,0.334046885,0.333485927,2.409722173,1.190467375,0.594989397,2.239979759,0.131201748,0.131853814,2.646960305,1.240856109,0.62773076,1.2563827,2.535247216,1.299265289,0.572344157,2.100144103,10.25141039,1.961822198,1.653494224,1.758788291,0.107687827,0.271430873,0.215289426
1.942209548,0.409371543,0.410658714,2.674941411,1.380287846,0.666587993,1.905077745,0.133889739,0.134321855,2.542653259,1.332677393,0.635132015,1.596571688,2.488300829,0.948017432,0.546510671,3.815632168,9.920276654,2.006952069,1.718076948,1.829062671,0.110900744,0.273898141,0.218736984
2.02424632,0.278203568,0.275636784,2.198105288,1.116721031,0.534215746,2.100194611,0.144964838,0.145331175,2.511666894,1.243479045,0.603843016,0.763712334,2.624440184,1.700747536,0.601574349,3.886854925,7.219065662,2.101768659,1.811258823,1.926682062,0.11658308,0.278109498,0.219374579
1.694484002,0.355488797,0.354750822,2.169724483,1.171649543,0.589014083,1.955354658,0.139238946,0.139909086,2.378527812,1.203669443,0.600841573,1.162699388,2.267219805,1.324401665,0.55211297,2.338541857,10.81366816,2.007759244,1.674143871,1.778493365,0.109612041,0.268460522,0.216323987
2.109098881,0.313573663,0.308726317,2.539117133,1.188314681,0.640464259,2.011582638,0.140020956,0.139910573,2.403825599,1.196651077,0.600111822,1.418810226,3.162671963,1.791372625,0.724456728,1.60876156,7.92529668,2.017470116,1.737073546,1.852371139,0.111639549,0.27715484,0.222728383
1.474500577,0.316337765,0.319758688,2.274767577,1.298749247,0.661931467,1.926193489,0.145197617,0.144670245,2.442350727,1.255232699,0.616302586,1.254566664,1.272818538,0.605815259,0.10342159,3.770682831,7.511157034,1.998670356,1.708723552,1.832286773,0.109017728,0.283761058,0.220042562
2.275090454,0.216127952,0.216413475,2.962434268,1.34578338,0.710587522,1.71489863,0.137746286,0.138986561,2.382352455,1.312110224,0.624084836,1.053466598,1.48080032,1.298391197,0.351048511,3.399465914,6.136589065,2.075257444,1.747521788,1.852034685,0.114156788,0.279004201,0.234542935
2.376873213,0.398224617,0.395276466,2.580588511,1.155710325,0.599475891,2.14102156,0.143002715,0.142659598,2.532300402,1.244443147,0.601515314,1.770114195,1.408782644,1.65479967,0.371311803,3.02341481,7.222563301,1.980638771,1.687438602,1.797759289,0.108914982,0.272865173,0.214142425
2.363880503,0.232388417,0.236635507,2.381835115,1.027634048,0.572872049,2.134271213,0.13185161,0.130957863,2.645740321,1.307602304,0.626976557,0.851159648,2.226003896,1.382728228,0.543704663,3.576962419,3.896956884,1.956793145,1.671408522,1.77134835,0.108913311,0.270171565,0.21450624
1.620978444,0.44005537,0.446218821,2.10012922,1.21601855,0.545417907,1.91087678,0.139436579,0.138631916,2.405472734,1.26504275,0.596809797,1.478955718,2.8929916,1.394269574,0.652870727,4.581391011,5.599435098,2.095092341,1.73819843,1.853582253,0.112760032,0.272828498,0.218364885
2.324341595,0.251557434,0.249717364,2.546327632,1.213263709,0.57352324,2.041141347,0.134360004,0.134380303,2.493470131,1.259361992,0.604616697,1.477594406,1.264846772,1.685995487,0.244995595,2.423041998,4.595447265,2.003984332,1.666942094,1.767693364,0.10950439,0.271632102,0.215675686
1.163540835,0.407258378,0.403854165,1.946281966,1.285622363,0.567800959,1.956003195,0.136332767,0.136924422,2.458594371,1.24765406,0.619089127,1.478949528,2.097586993,1.26516298,0.525141315,4.557326348,6.940956632,1.997537692,1.736450019,1.847149272,0.11172758,0.272095681,0.217373055
2.101273869,0.340277451,0.339424528,2.478202085,1.288413415,0.56622256,2.077025537,0.133892404,0.132472072,2.492763106,1.237860383,0.604182616,1.333909099,2.767363288,2.006551841,0.620685062,2.777957288,5.768612518,1.87971355,1.580485488,1.684720821,0.102716864,0.273099896,0.222721702
1.682763888,0.300266643,0.301586395,2.055279138,1.107517772,0.563217081,2.113711451,0.136830236,0.136343223,2.309394738,1.078058988,0.582546756,1.140285675,3.504463991,2.004406378,0.697755518,1.548541987,8.501499494,1.993609533,1.666091468,1.766010727,0.109295914,0.270739011,0.214767608
2.324748689,0.266494812,0.269184948,2.704334849,1.30066534,0.603794085,1.899118796,0.136921969,0.136705145,2.422906373,1.286543131,0.598363433,1.389304532,2.567576786,1.345383873,0.528438891,2.138521453,5.872960379,1.969690021,1.646885608,1.746049489,0.107937244,0.270355487,0.218134073
1.661640052,0.321078967,0.320713083,2.301366948,1.309168343,0.597120059,1.879067889,0.139331789,0.140285632,2.438132157,1.293607538,0.60909168,1.164373014,1.908048849,1.233791739,0.44295315,3.291422486,7.348217636,1.978577728,1.719634124,1.838472218,0.109625738,0.266620754,0.210120079
1.725655305,0.454918529,0.451657739,2.59367731,1.40311572,0.689918541,2.183654314,0.142472988,0.143042855,2.504268807,1.189250507,0.602209925,1.57802436,3.577080194,1.834285696,0.578338735,2.742869891,10.36077594,2.017318376,1.667757555,1.769482253,0.109350193,0.270093047,0.214067669
2.022688807,0.380977844,0.377755767,2.626741844,1.436280735,0.588553763,2.173340683,0.144499454,0.145088242,2.577660822,1.282452583,0.595952696,1.419313076,1.869237305,1.409019661,0.401325945,2.739665986,8.341522238,1.99950586,1.700834419,1.812932437,0.10968941,0.266066868,0.214871937
1.787743103,0.254683884,0.254783121,2.428507249,1.286468291,0.638816034,2.019446376,0.135922122,0.136978849,2.568491832,1.30870702,0.623826821,1.225715935,2.174893428,1.583783728,0.461043419,0.427531643,6.453344234,1.990457059,1.66193453,1.765913473,0.108451915,0.270903274,0.214135572
2.073232323,0.336839799,0.337216996,2.416838296,1.191902271,0.590833941,2.041276331,0.13767824,0.137168936,2.599374957,1.320424779,0.626544362,1.359963151,2.662420448,1.883227353,0.380549707,3.707306184,4.131300157,2.002702756,1.680979208,1.781833944,0.110133252,0.28800078,0.226996041
2.288070553,0.253586265,0.257600246,2.553280243,1.162766748,0.607723172,1.99718727,0.135564873,0.135923041,2.427123678,1.222010814,0.60340504,1.409106417,2.603956862,1.417595351,0.574087433,2.114223822,6.32763891,1.997517156,1.682454187,1.781616273,0.110219374,0.272464833,0.22399914
2.333433791,0.266525501,0.265272368,2.145145664,0.946067716,0.513868425,1.93069496,0.149742308,0.150676807,2.328078335,1.211992831,0.57807449,1.205043652,2.298983128,1.609559831,0.510582838,2.284856569,1.868643982,1.989907425,1.701860929,1.817170373,0.109354144,0.275150943,0.218629821
1.800831079,0.268586408,0.268767876,2.398494871,1.318768467,0.599571174,2.00563278,0.132477916,0.133237669,2.537353068,1.277546815,0.628134056,0.730664214,1.912141872,1.292409907,0.527586557,3.250409739,8.826043231,2.01523242,1.675829604,1.789759477,0.108571268,0.260147705,0.217703315
2.118962825,0.173682844,0.172614677,2.691930499,1.313426089,0.650556203,1.820770723,0.130124626,0.131228063,2.521824221,1.375691233,0.629476832,0.84408449,2.620480321,2.131563378,0.62037624,2.681570608,0.500694849,1.94198349,1.622062957,1.721022701,0.106271176,0.270182765,0.219604085
1.89229718,0.374560811,0.376316857,2.192047054,1.1281282,0.562236664,1.88597796,0.14135659,0.142969859,2.507145853,1.352036215,0.612472501,0.691258827,3.232927427,1.84143745,0.794802959,2.612200647,13.12087923,2.045628755,1.764147655,1.875873302,0.113687424,0.270504016,0.219861508
1.672670823,0.322942983,0.322864625,2.585226365,1.481398068,0.659919622,1.995825952,0.133226002,0.133345311,2.507949483,1.234211486,0.63820094,1.282381228,1.532498111,1.254774329,0.304495398,4.642006587,5.784056764,1.99903492,1.699389299,1.808049678,0.109927086,0.273619778,0.21583814
2.144386953,0.314161984,0.318978046,2.637150786,1.333138151,0.608105097,1.936627125,0.135234935,0.134401891,2.354516435,1.191317537,0.600631316,1.241021816,2.476890284,1.691301324,0.545677699,4.078972013,7.424593847,1.974622975,1.670678182,1.775042152,0.108533003,0.261322148,0.211253901
2.548429657,0.323146754,0.322480382,2.762359596,1.226114716,0.602820202,1.937858677,0.140094757,0.141359315,2.363115576,1.214908613,0.592513261,1.316669211,2.790290533,1.706875599,0.40005932,2.840080051,6.10972501,1.934030859,1.605925095,1.70311417,0.105651676,0.267481652,0.220691198
