"N","MSE.h11","MSE.h01","MSE.h00","MSE.h2","MSE.q0","MSE.q11"
12800,0.002343321,0.002001958,0.002060303,0.001008255,0.002202725,0.027589677
12800,0.002811368,0.002114592,0.00254751,0.00021474,0.007429326,0.02552071
12800,0.001337988,0.001861146,0.001375611,0.000308391,0.002773887,0.031574079
12800,0.002387322,0.002111677,0.00115997,0.00074639,0.003285669,0.046469931
12800,0.002998364,0.002675704,0.001433924,0.000659725,0.004321357,0.054145407
12800,0.001802184,0.002425238,0.000860556,0.000728378,0.019114367,0.041166606
12800,0.003357019,0.00204715,0.000993395,0.000960559,0.005100802,0.035697158
12800,0.002708251,0.001890324,0.001348594,0.000354493,0.007025303,0.055248506
12800,0.001706489,0.001883593,0.002101643,0.00026893,0.001922217,0.011270747
12800,0.001151083,0.004850298,0.002335764,0.00146302,0.002684744,0.075859074
12800,0.001362454,0.001791368,0.001579206,0.000270739,0.002903364,0.011163826
12800,0.003774447,0.001326952,0.001339547,0.000299339,0.006682884,0.014240971
12800,0.00186622,0.003578745,0.001623902,0.000797712,0.006493071,0.050002157
12800,0.002901788,0.002522496,0.001384118,0.00070116,0.001881587,0.027800256
12800,0.00353569,0.002270313,0.002154252,0.000240759,0.004430718,0.011396316
12800,0.003704581,0.003167775,0.00241513,0.000537728,0.004040895,0.017476624
12800,0.001938305,0.001765114,0.001042534,0.000632004,0.002445017,0.016114873
12800,0.005949409,0.002237085,0.00172391,0.000175648,0.007509637,0.024744252
12800,0.000886468,0.002173478,0.001911486,0.000612725,0.002734247,0.019955221
12800,0.002213575,0.001654544,0.001159467,0.000915059,0.004190836,0.018427363
12800,0.001958414,0.006303452,0.001577804,0.001092117,0.002827713,0.007511146
12800,0.0008076,0.00308119,0.00127922,0.001030625,0.003426072,0.02213544
12800,0.001399397,0.00228196,0.002141901,0.000450973,0.006893795,0.077898946
12800,0.005727969,0.002923386,0.002271193,0.000690136,0.007946142,0.027417129
12800,0.002808139,0.001985527,0.002031376,0.000334581,0.007680129,0.030969723
12800,0.006173928,0.004463168,0.002181182,0.00067203,0.006609903,0.058938013
12800,0.002919429,0.002146116,0.002646606,0.000314296,0.003888226,0.03049046
12800,0.002752314,0.002489825,0.001843134,0.0008594,0.006823553,0.008544794
12800,0.005500286,0.003417929,0.002830138,0.000686043,0.00979843,0.13358738
12800,0.001031431,0.001968943,0.001714692,0.000552514,0.00371549,0.014440326
12800,0.005132569,0.002288899,0.001941777,0.000228977,0.0118125,0.027280944
12800,0.003602438,0.002106867,0.001211259,0.000246424,0.005856736,0.013524517
12800,0.001386895,0.0020889,0.001371519,0.000722541,0.013170748,0.032676998
12800,0.001625599,0.002717865,0.001945869,0.000243107,0.007261232,0.014096955
12800,0.005452872,0.002339142,0.001977854,0.001131823,0.004802061,0.058294794
12800,0.001203015,0.00421337,0.002729982,0.000883876,0.001729757,0.086169945
12800,0.003777565,0.003120173,0.002684021,0.000673987,0.005399738,0.02236827
12800,0.003834298,0.002104874,0.001248603,0.00063146,0.003464341,0.023863954
12800,0.00329608,0.004877228,0.002308896,0.001356239,0.006260241,0.04460617
12800,0.002641162,0.003535611,0.001683934,0.001192049,0.005873921,0.021901977
12800,0.003413878,0.001650757,0.001803367,0.00055072,0.010721165,0.019533274
12800,0.001892324,0.003276437,0.002371979,0.000550835,0.003765221,0.019870747
12800,0.002498665,0.002189873,0.001690241,0.000426752,0.010887311,0.048020085
12800,0.004733034,0.002775586,0.003268041,0.000459225,0.011850705,0.029388813
12800,0.001110514,0.002181386,0.001700275,0.000373105,0.004422591,0.050481931
12800,0.002509959,0.002160308,0.002272459,0.000342625,0.0037037,0.015919763
12800,0.003942654,0.005428403,0.003426508,0.000854864,0.003707219,0.019798917
12800,0.002026047,0.002544255,0.0016872,0.000292071,0.001999257,0.031067654
12800,0.004674281,0.00370286,0.001797025,0.000449378,0.00878093,0.042736746
12800,0.002976635,0.001421235,0.001503399,0.000189186,0.002926596,0.012369057
12800,0.00353587,0.002803038,0.002626632,0.000354927,0.003367595,0.016183503
12800,0.001495522,0.002411455,0.002591688,0.000972917,0.002818309,0.036035927
12800,0.003135412,0.001733906,0.001882765,0.000519634,0.020129127,0.036927884
12800,0.004954301,0.003972722,0.00183938,0.000552237,0.003294003,0.043183222
12800,0.003233164,0.003526757,0.002928901,0.001163319,0.004292749,0.022733112
12800,0.002532309,0.002718528,0.001115831,0.001427976,0.004979259,0.059629087
12800,0.0008512,0.002177609,0.001552693,0.000670281,0.003212464,0.060249501
12800,0.004002857,0.002201858,0.022353516,0.000378962,0.006570287,0.006291789
12800,0.005785878,0.001489487,0.001370199,0.000279871,0.005900639,0.039233195
12800,0.000578072,0.001957617,0.001912597,0.000377876,0.004474327,0.029233144
12800,0.003028024,0.005363511,0.00398025,0.000570033,0.003457431,0.018890954
12800,0.001778462,0.002383029,0.001705169,0.00017011,0.00227159,0.024778939
12800,0.003814622,0.001257531,0.002191934,0.000298208,0.010882977,0.021630869
12800,0.005420338,0.002710616,0.002581451,0.000443496,0.004903164,0.038197787
12800,0.00137233,0.004559264,0.002405402,0.000379022,0.009108135,0.00861494
12800,0.004111123,0.004026255,0.001587976,0.000692716,0.007921119,0.040553841
12800,0.001550021,0.002528212,0.002034359,0.00022731,0.002839201,0.011270081
12800,0.005454717,0.030050674,0.001201424,0.000184117,0.016581056,0.02816363
12800,0.001305034,0.001831392,0.002371037,0.0011071,0.002130039,0.055085455
12800,0.001373296,0.001283663,0.002218425,0.000405683,0.005260728,0.021223672
12800,0.000921691,0.002914458,0.001560591,0.000399258,0.005399521,0.025836555
12800,0.00390271,0.002989697,0.001461674,0.000212793,0.003201051,0.103173913
12800,0.001578101,0.002934626,0.001499822,0.00059066,0.012363406,0.017752472
12800,0.003536599,0.001494996,0.002419418,0.000916029,0.003230571,0.029740174
12800,0.004192889,0.002962196,0.001775898,0.00038985,0.004474779,0.021999441
12800,0.002153577,0.003528107,0.001994992,0.001741723,0.006198429,0.031822828
12800,0.003652502,0.003789168,0.00285796,0.000294609,0.001011184,0.053712139
12800,0.002323215,0.003331971,0.002174374,0.001032933,0.006686121,0.027322241
12800,0.000599797,0.002527385,0.002013353,0.00052923,0.00589826,0.020374698
